Methods,Header File,IEEE Std 1003.1-202x (Issue 8)  (Draft),IEEE Std 1003.1-2017 (Issue 7 TC2),IEEE Std 1003.1-2008 (Issue 7),IEEE Std 1003.1-2003 (Issue 6),PSE51,PSE52,PSE53,PSE54,C99,C11,C17,FACE 2.1 Security,FACE 2.1 Safety Base,FACE 2.1 Safety Extended,FACE 2.1 General Purpose,FACE 3.0 Security,FACE 3.0 Safety Base,FACE 3.0 Safety Extended,FACE 3.0 General Purpose,FACE 3.1 Security,FACE 3.1 Safety Base,FACE 3.1 Safety Extended,FACE 3.1 General Purpose,FACE 3.2 Security,FACE 3.2 Safety Base,FACE 3.2 Safety Extended,FACE 3.2 General Purpose,SCA 2.2.2 AEP,SCA 4.1 Ultra Lightweight AEP,SCA 4.1 Lightweight AEP,SCA 4.1 [Full] AEP,RTEMS w/o Networking,RTEMS w/ Networking,Deos RTEMS Safety Base,Deos RTEMS Safety Ext,Deos RTEMS Gen Purp,RTEMS Impl Note,POSIX Functionality Categories
fopen_s(),stdio.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
fork(),unistd.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,INCL,INCL,,,MP,MP,,,MP,MP,,,MP,MP,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,ENOSYS,POSIX_MULTI_PROCESS
fpathconf(),unistd.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,INCL,,,INCL,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_FILE_SYSTEM
fpclassify(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
fprintf(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_DEVICE_IO
fprintf_s(),stdio.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
fputc(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,INCL,,,INCL,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_DEVICE_IO
fputs(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,INCL,,,INCL,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_DEVICE_IO
fputwc(),wchar.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_WIDE_CHAR_DEVICE_IO
fputws(),wchar.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_WIDE_CHAR_DEVICE_IO
fread(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_DEVICE_IO
free(),stdlib.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,INCL,,INCL,INCL,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
freeaddrinfo(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,NET,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
freelocale(),locale.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
freopen(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_DEVICE_IO
freopen_s(),stdio.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
frexp(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_MATH
frexpf(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_MATH
frexpl(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-NO,,POSIX_C_LANG_MATH
fscanf(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,INCL,,,INCL,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_DEVICE_IO
fscanf_s(),stdio.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
fseek(),stdio.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_FD_MGMT
fseeko(),stdio.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,,,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_FD_MGMT
fsetpos(),stdio.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_FD_MGMT
fstat(),sys/stat.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,,,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_FILE_SYSTEM
fstatat(),sys/stat.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,
fstatvfs(),sys/statvfs.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,POSIX_FILE_SYSTEM
fsync(),unistd.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,,,,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,_POSIX_FSYNC
ftell(),stdio.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_FD_MGMT
ftello(),stdio.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,,,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_FD_MGMT
ftime(),strings.h,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAND-YES,HAND-YES,,,,,
ftok(),sys/ipc.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_IPC
ftruncate(),unistd.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_FD_MGMT
ftrylockfile(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_FILE_LOCKING
ftw(),ftw.h,,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAND-YES,HAND-YES,,,,,XSI_FILE_SYSTEM
funlockfile(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_FILE_LOCKING
futimens(),sys/stat.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,
fwide(),wchar.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_WIDE_CHAR_DEVICE_IO
fwprintf(),wchar.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_WIDE_CHAR_DEVICE_IO
fwprintf_s(),wchar.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
fwrite(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_DEVICE_IO
fwscanf(),wchar.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_WIDE_CHAR_DEVICE_IO
fwscanf_s(),wchar.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
gai_strerror(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
gcvt(),stdlib.h,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
getaddrinfo(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,NET,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
getc(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,INCL,,,INCL,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_DEVICE_IO
getc_unlocked(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_FILE_LOCKING
getchar(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,INCL,,,INCL,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_DEVICE_IO
getchar_unlocked(),stdio.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_FILE_LOCKING
getcontext(),ucontext.h,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getcwd(),unistd.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,,,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_FILE_SYSTEM
getdate(),time.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_C_LANG_SUPPORT
getdate_err,time.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_C_LANG_SUPPORT
getdelim(),stdio.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,
getegid(),unistd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_USER_GROUPS
getenv(),stdlib.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_SINGLE_PROCESS
getenv_s(),stdlib.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
geteuid(),unistd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_USER_GROUPS
getgid(),unistd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_USER_GROUPS
getgrent(),grp.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_USER_GROUPS
getgrgid(),grp.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_SYSTEM_DATABASE
getgrgid_r(),grp.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_SYSTEM_DATABASE_R
getgrnam(),grp.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_SYSTEM_DATABASE
getgrnam_r(),grp.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_SYSTEM_DATABASE_R
getgroups(),unistd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_USER_GROUPS
gethostbyaddr(),netdb.h,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,RT-YES,,,,,
gethostbyname(),netdb.h,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,RT-YES,,,,,
gethostent(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
gethostid(),unistd.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_SINGLE_PROCESS
gethostname(),unistd.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,,,,NET,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
getitimer(),sys/time.h,,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,ENOSYS,XSI_TIMERS
getline(),stdio.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,
getlogin(),unistd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,INCL,,,,,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_USER_GROUPS
getlogin_r(),unistd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,INCL,,,,INCL,,,,INCL,,,,,RT-YES,RT-YES,,,,,POSIX_USER_GROUPS_R
getmsg(),stropts.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,_XOPEN_STREAMS
getnameinfo(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,NET,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
getnetbyaddr(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
getnetbyname(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
getnetent(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
getopt(),unistd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_C_LIB_EXT
getpeername(),sys/socket.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,NET,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
getpgid(),unistd.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,POSIX_MULTI_PROCESS
getpgrp(),unistd.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,INCL,INCL,,,MP,MP,,,MP,MP,,,,,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_MULTI_PROCESS
getpid(),unistd.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,INCL,INCL,,,MP,MP,,,MP,MP,,,MP,MP,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,SUSP,POSIX_MULTI_PROCESS
getpmsg(),stropts.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,_XOPEN_STREAMS
getppid(),unistd.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,INCL,INCL,,,MP,MP,,,MP,MP,,,MP,MP,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_MULTI_PROCESS
getpriority(),sys/resource.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_MULTI_PROCESS
getprotobyname(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
getprotobynumber(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
getprotoent(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
getpwent(),pwd.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_SYSTEM_DATABASE
getpwnam(),pwd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_SYSTEM_DATABASE
getpwnam_r(),pwd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_SYSTEM_DATABASE_R
getpwuid(),pwd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_SYSTEM_DATABASE
getpwuid_r(),pwd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_SYSTEM_DATABASE_R
getresgid(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getresuid(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getrlimit(),sys/resource.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_MULTI_PROCESS
getrusage(),sys/resource.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_MULTI_PROCESS
gets(),stdio.h,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,INCL,,,,RT-YES,RT-YES,,,,,POSIX_DEVICE_IO
gets_s(),stdio.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
getservbyname(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-YES,,POSIX_NETWORKING
getservbyport(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
getservent(),netdb.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
getsid(),unistd.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,POSIX_MULTI_PROCESS
getsockname(),sys/socket.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,NET,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
getsockopt(),sys/socket.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,NET,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
getsubopt(),stdlib.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_C_LIB_EXT
gettext(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gettext_l(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gettimeofday(),sys/time.h,,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_SINGLE_PROCESS
getuid(),unistd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,,,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_USER_GROUPS
getutxent(),utmpx.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_USER_GROUPS
getutxid(),utmpx.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_USER_GROUPS
getutxline(),utmpx.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_USER_GROUPS
getwc(),wchar.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_WIDE_CHAR_DEVICE_IO
getwchar(),wchar.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_WIDE_CHAR_DEVICE_IO
getwd(),unistd.h,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glob(),glob.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_FILE_SYSTEM_GLOB
globfree(),glob.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_FILE_SYSTEM_GLOB
gmtime(),time.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,INCL,,INCL,INCL,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_SUPPORT
gmtime_r(),time.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT_R
gmtime_s(),time.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
grantpt(),stdlib.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_DEVICE_SPECIFIC
h_errno,netdb.h,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
hcreate(),search.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_C_LANG_SUPPORT
